               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036199,            0.018095,             0.01172,             0.81326,             0.47404,             0.54772,             0.34087,            0.040431,            0.015118,             0.01212,            0.009307,            0.009307,            0.009307
                  37,            0.036729,            0.017958,            0.012169,             0.60874,             0.59244,             0.54798,             0.31849,            0.041107,            0.014763,             0.01318,           0.0092872,           0.0092872,           0.0092872
                  38,            0.035579,            0.017685,            0.011825,             0.82012,             0.49585,             0.59199,             0.35055,            0.037738,            0.014702,            0.012112,           0.0092674,           0.0092674,           0.0092674
                  39,            0.034077,            0.017751,            0.012118,             0.72383,             0.54589,             0.60625,             0.37062,            0.035342,             0.01465,            0.011692,           0.0092476,           0.0092476,           0.0092476
                  40,            0.035213,            0.017605,            0.012049,             0.77734,             0.51574,             0.57031,              0.3704,            0.038821,             0.01502,            0.012675,           0.0092278,           0.0092278,           0.0092278
                  41,            0.034626,            0.017421,            0.011495,             0.72464,             0.57214,             0.59789,             0.33987,            0.036618,            0.014205,            0.011371,            0.009208,            0.009208,            0.009208
                  42,            0.034707,            0.017035,            0.010885,              0.7267,             0.53907,             0.58897,             0.37862,            0.037652,             0.01485,            0.010743,           0.0091882,           0.0091882,           0.0091882
                  43,             0.03465,            0.017817,            0.011151,             0.68575,             0.57031,               0.581,              0.3833,            0.034797,             0.01391,             0.01394,           0.0091684,           0.0091684,           0.0091684
                  44,            0.033184,            0.017201,            0.010422,             0.71221,             0.59887,             0.59968,             0.36048,            0.036584,            0.014569,            0.010666,           0.0091486,           0.0091486,           0.0091486
                  45,            0.033246,            0.016547,            0.010499,             0.79012,             0.56243,             0.61013,             0.37702,            0.036966,            0.013623,            0.011197,           0.0091288,           0.0091288,           0.0091288
                  46,            0.033861,            0.016836,            0.010592,             0.71609,             0.59348,             0.62037,              0.3489,            0.034834,            0.013807,            0.010491,            0.009109,            0.009109,            0.009109
                  47,             0.03387,             0.01708,            0.011166,             0.70892,              0.5587,             0.56919,              0.3291,             0.03591,             0.01466,            0.012135,           0.0090892,           0.0090892,           0.0090892
                  48,            0.033205,             0.01689,            0.011037,             0.66173,             0.61442,             0.61553,             0.37371,            0.035705,            0.014623,            0.011092,           0.0090694,           0.0090694,           0.0090694
                  49,            0.033207,            0.017332,            0.010524,             0.75152,             0.59432,             0.63325,             0.39741,             0.03415,            0.013985,            0.010758,           0.0090496,           0.0090496,           0.0090496
